Name_ALMACAL,RA_ALMACAL,Dec_ALMACAL,Redshift,Spectrum,Provenance,Confidence,Name_IAU,RA_Optical,Dec_Optical,W1_mag,W2_mag,W3_mag,Separation
J1647-2912,251.9911452,-29.21234846,,FALSE,,0,WISEA J164757.85-291,251.99125,-29.21222,14.807,13.649,10.309,0.54
J2147+0929,326.7923457,9.496297872,1.113,TRUE,DESI,4,[HB89] 2144+092,326.79235,9.4963,13.851,12.668,10.652,0.06
J1924-2914,291.2127332,-29.24170029,0.353,TRUE,6dF:g1924510-291430,3,[HB89] 1921-293,291.21273,-29.2417,11.033,9.89,6.551,0.06
J0440-6952,70.19898923,-69.87169086,0.65815,TRUE,This work,4,WISEA J044047.77-695,70.19896,-69.87164,14.478,13.339,9.959,0.18
J0116-2052,19.21418854,-20.86857828,1.41,FALSE,1996ApJS..107...19M,2,PKS 0114-21,19.21435,-20.86853,16.363,15.353,11.416,0.54
J2346+0930,356.6534939,9.512643028,0.673,TRUE,2012A&A...544A..37G,3,[HB89] 2344+092,356.65349,9.51264,12.177,11.033,8.174,0
J1114-3652,168.7428903,-36.87779021,,FALSE,,0,PKS 1112-365,168.74271,-36.87772,13.266,12.392,10.045,0.6
J0440+1437,70.08808082,14.63248654,,FALSE,,0,WISEA J044021.14+143,70.08808,14.63249,14.31,13.118,10.168,0.06
J0718-4319,109.68178,-43.33048,,FALSE,,0,WISEA J071843.63-431,109.68183,-43.33047,12.925,12.065,9.817,0.12
J0610-1847,92.57452545,-18.79447001,0.64,FALSE,2019ApJ...873..132M,2,WISEA J061017.88-184,92.57453,-18.79447,12.771,11.723,8.918,0.06
J1509-4340,227.3989049,-43.67553596,0.776,TRUE,2001MNRAS.323..757L,4,WISEA J150935.73-434,227.39892,-43.67547,14.066,12.992,10.448,0.24
J0243-0550,40.80195617,-5.84869315,1.805,TRUE,2002A&A...386...97J,4,[HB89] 0240-060,40.80196,-5.84869,14.908,13.544,10.293,0
J2148+0657,327.0227445,6.960723397,0.999,TRUE,2002ApJS..140..143B,4,[HB89] 2145+067,327.02274,6.96072,12.145,10.828,8.066,0.06
J0117-2111,19.45325058,-21.18517587,1.49,FALSE,2008ApJS..175...97H,3,PKS 0115-214,19.45325,-21.18518,13.331,12.192,9.523,0
J2348-1631,357.0108689,-16.52000617,0.576,TRUE,1993MNRAS.263..999T,4,[HB89] 2345-167,357.01087,-16.52001,11.919,10.84,7.959,0
J0440+2728,70.11558121,27.477967,,FALSE,,0,B2 0437+27A,70.11558,27.47797,13.844,12.622,10.052,0.06
J1145-6954,176.473434,-69.90049935,0.2434,TRUE,2013AJ....146...10T,4,PKS 1143-696,176.47343,-69.9005,11.423,10.42,7.962,0
J0245-4459,41.47545821,-44.99433203,0.283,TRUE,6dF:g0245541-445939,4,PKS 0244-452,41.47542,-44.99425,11.993,11.132,8.479,0.3
J2151-2742,327.8412712,-27.70639142,1.4846,TRUE,2004MNRAS.349.1397C,4,WISEA J215121.90-274,327.84127,-27.70639,13.051,11.891,9.537,0
J1708+0035,257.1860312,0.585976,0.449,TRUE,1997MNRAS.284...85D,4,PKS 1706+006,257.18603,0.58598,14.162,13.023,10.246,0.06
J0613+1708,93.40150038,17.14026274,,FALSE,,0,WISEA J061336.35+170,93.4015,17.14026,15.782,14.93,11.18,0.06
J0117+1418,19.35501306,14.30345024,0.839,FALSE,2008ApJS..175...97H,3,WISEA J011725.20+141,19.35501,14.30345,14.379,13.445,10.539,0
J0441-3300,70.39596352,-33.00232665,1.0694,TRUE,This work,4,PKS 0439-331,70.396,-33.00219,15.632,14.568,11.523,0.48
J0725-0054,111.4609996,-0.915706369,0.128,FALSE,1976ApJS...31..143W,3,PKS 0723-008,111.461,-0.91571,10.975,9.894,7.088,0.06
J1322-6532,200.7245363,-65.53885881,,FALSE,,0,PKS 1319-652,200.72442,-65.53906,15.042,13.835,10.151,0.72
J0613+1306,93.49038648,13.11261136,0.745,FALSE,2005ApJ...626...95S,3,WISEA J061357.69+130,93.49039,13.11261,13.31,12.178,9.854,0.06
